Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Wakefield,4d375ce799fe8eec99fd2355,Ripe Kitchen & Bar,70,8.8,33
Bronx,Wakefield,4c9e50e38afca09379b2ff15,Ali's Roti Shop,16,8.6,9
Bronx,Wakefield,4c10f6aece57c92804a682d2,Jackie's West Indian Bakery,22,7.5,13
Bronx,Wakefield,508af256e4b0578944c87392,Cooler Runnings Jamaican Restaurant Inc,7,6.7,4
Bronx,Co-op City,4baab2b0f964a520c7803ae3,Country Thyme Cuisine,18,7.9,7
Bronx,Co-op City,4c757642b474a1cd2858b9bf,Golden Krust Caribbean Restaurant,5,6.4,3
Bronx,Eastchester,515cc20ce4b0deb133b8e89b,Fish & Ting,24,8.5,6
Bronx,Eastchester,4c632fbaeb82d13a3c5007d6,Golden Krust Caribbean Restaurant,2,6.8,2
Bronx,Eastchester,4dbf84a24df0f8fd6b88c9b6,Royal Caribbean Bakery,2,6.3,4
Bronx,Eastchester,4c757642b474a1cd2858b9bf,Golden Krust Caribbean Restaurant,5,6.4,3
Bronx,Eastchester,4c6c47ec1fb2a1434807fbe6,Pimento Caribbean Restaurant,5,6.0,6
Bronx,Kingsbridge,4bd8e98811dcc928f865f833,El Malecon,62,8.4,34
Manhattan,Marble Hill,4bd8e98811dcc928f865f833,El Malecon,62,8.4,34
Bronx,Woodlawn,4c9e50e38afca09379b2ff15,Ali's Roti Shop,16,8.6,9
Bronx,Norwood,4c031b49310fc9b64787c561,La Nueva Estrella,11,7.1,9
Bronx,Norwood,4b4f7901f964a520090827e3,Golden Krust Caribbean Restaurant,1,6.7,1
Bronx,Williamsbridge,4e4de62abd4101d0d79dae97,Gold Star Jerk And Seafood Center,24,8.2,3
Bronx,Williamsbridge,4ba39e47f964a520944c38e3,Golden Krust Caribbean Restaurant,14,7.5,9
Bronx,Williamsbridge,4f2725d3e4b02a950113e0f0,Gooddine,9,7.3,2
Bronx,Williamsbridge,4c0e9b28d64c0f478778285d,Richie Rich Caribbean Taste Restaurant,27,7.5,15
Bronx,Williamsbridge,4e4d6825bd413c4cc670d38c,Golden Krust Caribbean Restaurant,2,7.0,3
Bronx,Williamsbridge,4ca7451314c337042fadc73b,The Dumplin Shop,5,6.1,3
Bronx,Williamsbridge,4cb436afeb65b1f73c3688cd,New Taste West Indian American,8,6.2,3
Bronx,Baychester,4be5b76e910020a1435fd314,Golden Krust Caribbean Restaurant,23,6.4,8
Bronx,Bedford Park,4c031b49310fc9b64787c561,La Nueva Estrella,11,7.1,9
Bronx,Fordham,4bab5b5bf964a520fba23ae3,Golden Krust Caribbean Restaurant,3,6.8,1
Bronx,High  Bridge,4c1010f5ce57c928f94681d2,The Feeding Tree,24,7.8,16
Bronx,Morrisania,4bb794d41261d13a2583e798,Golden Krust Caribbean Restaurant,0,6.6,3
Bronx,Parkchester,5b1c188f1ffe97002c02259f,Ajo Y Oregano,8,7.9,2
Bronx,Parkchester,4b919003f964a520d4c533e3,Golden Krust Caribbean Restaurant,12,7.0,7
Bronx,Parkchester,4d226c99756e8cfaf0c27e54,Jenny's Roti Shop,2,7.2,6
Bronx,Parkchester,0,0,0,0.0,0
Bronx,Van Nest,5b1c188f1ffe97002c02259f,Ajo Y Oregano,8,7.9,2
Bronx,Van Nest,4b919003f964a520d4c533e3,Golden Krust Caribbean Restaurant,12,7.0,7
Bronx,Belmont,4bab5b5bf964a520fba23ae3,Golden Krust Caribbean Restaurant,3,6.8,1
Bronx,Olinville,4c07e7f97e3fc9280676ef82,Feroza's Roti Shop,39,7.6,24
Bronx,Olinville,4ba52f5df964a52009e938e3,Golden Krust Caribbean Restaurant,5,7.1,2
Bronx,Olinville,4f627f50e4b04d4b13d32f90,Richie Rich,3,5.9,3
Bronx,Olinville,0,0,0,0.0,0
Bronx,Pelham Gardens,5026a2ace4b08ea913bab503,Ultimate Grill,8,8.0,4
Bronx,Pelham Gardens,4be5b76e910020a1435fd314,Golden Krust Caribbean Restaurant,23,6.4,8
Bronx,Concourse,4c6daa9e06ed6dcbbe91a422,Concourse Jamaican Bakery,6,6.6,6
Bronx,Unionport,4d226c99756e8cfaf0c27e54,Jenny's Roti Shop,2,7.2,6
Bronx,Edenwald,4c10f6aece57c92804a682d2,Jackie's West Indian Bakery,22,7.5,13
Bronx,Edenwald,4cb436afeb65b1f73c3688cd,New Taste West Indian American,8,6.2,3
Bronx,Edenwald,4ca7451314c337042fadc73b,The Dumplin Shop,5,6.1,3
Brooklyn,Flatbush,52b27c86498e50d126766a68,Footprints Cafe Express,53,7.6,14
